TKN_PROGRAM program 1
TKN_LLLAVE { 1
TKN_INT int 2
TKN_IDEN y 2
TKN_COMA , 2
TKN_IDEN var 2
TKN_SEMICOLOM ; 2
TKN_INT int 3
TKN_IDEN z 3
TKN_SEMICOLOM ; 3
TKN_IF if 4
TKN_LPAREN ( 4
TKN_IDEN X 4
TKN_MAYOR_IGUAL >= 4
TKN_NUM 10 4
TKN_RPAREN ) 4
TKN_THEN then 4
TKN_LLLAVE { 4
TKN_READ read 5
TKN_NUM 6 5
TKN_SEMICOLOM ; 5
TKN_IDEN x 6
TKN_ASIGN = 6
TKN_NUM 3 6
TKN_ADD + 6
TKN_LPAREN ( 6
TKN_NUM 10 6
TKN_MAYOR > 6
TKN_NUM 5 6
TKN_RPAREN ) 6
TKN_SEMICOLOM ; 6
TKN_WHILE while 7
TKN_LPAREN ( 7
TKN_TRUE true 7
TKN_AND AND 7
TKN_FALSE false 7
TKN_RPAREN ) 7
TKN_LLLAVE { 7
TKN_READ read 8
TKN_IDEN z 8
TKN_SEMICOLOM ; 8
TKN_WRITE write 9
TKN_IDEN z 9
TKN_SEMICOLOM ; 9
TKN_READ read 10
TKN_IDEN var 10
TKN_SEMICOLOM ; 10
TKN_RLLAVE } 11
TKN_RLLAVE } 12
TKN_ELSE else 12
TKN_LLLAVE { 12
TKN_WRITE write 13
TKN_IDEN x 13
TKN_ADD + 13
TKN_IDEN z 13
TKN_SEMICOLOM ; 13
TKN_RLLAVE } 14
TKN_FI fi 14
TKN_IDEN var 15
TKN_ASIGN = 15
TKN_NUM 4 15
TKN_ADD + 15
TKN_NUM 6 15
TKN_SEMICOLOM ; 15
TKN_WRITE write 16
TKN_IDEN var 16
TKN_SEMICOLOM ; 16
TKN_RLLAVE } 17
TKN_EOF  23
